node,seq,send,sink,response,delay
8,15,171.989,172.028,172.035,0.04599999999999227
8,16,182.453,182.481,182.501,0.04800000000000182
8,17,191.699,191.712,191.718,0.018999999999977035
8,18,201.703,201.744,201.775,0.07200000000000273
8,19,211.924,211.959,212.0,0.0759999999999934
8,20,222.308,222.335,222.341,0.03300000000001546
8,21,232.115,232.151,232.165,0.04999999999998295
8,22,242.917,242.931,242.941,0.02400000000000091
8,23,253.483,253.497,253.555,0.07200000000000273
8,24,264.118,264.152,264.192,0.07400000000001228
8,25,274.026,274.044,274.052,0.02600000000001046
8,26,283.062,283.08,283.113,0.05099999999998772
8,27,293.689,293.702,293.724,0.03499999999996817
8,28,302.826,302.852,302.883,0.05699999999995953
8,29,312.156,312.162,312.198,0.04199999999997317
9,0,19.048,19.079,19.085,0.037000000000002586
9,1,29.751,29.767,29.784,0.0329999999999977
9,2,38.828,38.873,38.879,0.05099999999999483
9,3,48.896,48.94,48.95,0.054000000000002046
9,4,57.908,57.934,57.963,0.054999999999999716
9,5,67.645,67.66,67.666,0.021000000000000796
9,6,78.465,78.51,78.53399999999999,0.0689999999999884
9,7,87.602,87.637,87.675,0.07299999999999329
9,8,97.166,97.174,97.19,0.02400000000000091
9,9,106.44800000000001,106.488,106.52199999999999,0.07399999999998386
9,10,116.90299999999999,116.911,116.922,0.019000000000005457
9,11,126.866,126.871,126.913,0.046999999999997044
9,12,136.959,136.975,137.014,0.05500000000000682
9,13,146.997,147.03300000000002,147.063,0.06599999999997408
9,14,157.121,157.149,157.189,0.06799999999998363
9,15,167.21800000000002,167.242,167.286,0.06799999999998363
9,16,176.963,176.987,176.993,0.030000000000001137
9,17,186.49,186.508,186.549,0.0589999999999975
9,18,195.778,195.787,195.811,0.03300000000001546
9,19,205.807,205.814,205.844,0.03700000000000614
9,20,216.526,216.564,216.602,0.0759999999999934
9,21,225.621,225.664,225.698,0.07699999999999818
9,22,234.628,234.642,234.659,0.03100000000000591
9,23,244.514,244.527,244.544,0.030000000000001137
9,24,254.49099999999999,254.525,254.54,0.049000000000006594
9,25,264.342,264.379,264.396,0.05400000000003047
9,26,273.595,273.622,273.662,0.06699999999995043
9,27,283.687,283.718,283.743,0.055999999999983174
9,28,293.72,293.745,293.777,0.05699999999995953
9,29,304.495,304.509,304.53,0.03499999999996817
10,0,39.068,39.118,39.166,0.09799999999999898
10,1,49.695,49.762,49.838,0.14300000000000068
10,2,60.377,60.43,60.506,0.12899999999999778
10,3,69.956,69.996,70.053,0.0969999999999942
10,4,80.209,80.236,80.298,0.08899999999999864
10,5,90.487,90.563,90.59700000000001,0.11000000000001364
10,6,100.561,100.63499999999999,100.691,0.12999999999999545
10,7,110.515,110.569,110.619,0.1039999999999992
10,8,121.03,121.109,121.193,0.1629999999999967
10,9,131.379,131.45,131.481,0.10200000000000387
10,10,142.362,142.411,142.447,0.08500000000000796
10,11,152.97,153.01,153.061,0.09100000000000819
10,12,162.091,162.143,162.20499999999998,0.1139999999999759
10,13,172.338,172.39,172.469,0.13100000000000023
10,14,181.883,181.93,181.985,0.10200000000000387
10,15,192.107,192.154,192.216,0.10900000000000887
10,16,202.402,202.477,202.507,0.10500000000001819
10,17,211.419,211.471,211.515,0.09599999999997522
10,18,222.07999999999998,222.14600000000002,222.17000000000002,0.09000000000003183
10,19,231.413,231.439,231.503,0.08999999999997499
10,20,242.384,242.419,242.46,0.07600000000002183
10,21,251.463,251.525,251.592,0.1290000000000191
10,22,260.884,260.951,260.975,0.09100000000000819
10,23,270.29,270.327,270.367,0.07699999999999818
10,24,281.094,281.146,281.19100000000003,0.09700000000003683
10,25,290.225,290.261,290.29,0.06499999999999773
10,26,299.638,299.685,299.742,0.10400000000004184
10,27,310.429,310.475,310.491,0.06200000000001182
11,0,34.331,34.408,34.47,0.1389999999999958
11,1,43.774,43.796,43.853,0.07900000000000063
11,2,52.979,53.021,53.076,0.09700000000000131
11,3,63.518,63.542,63.572,0.054000000000002046
11,4,73.295,73.353,73.375,0.0799999999999983
11,5,82.38,82.419,82.459,0.07900000000000773
11,6,92.929,92.99600000000001,93.038,0.10899999999999466
11,7,102.868,102.89099999999999,102.959,0.09100000000000819
11,8,112.25399999999999,112.322,112.37299999999999,0.11899999999999977
11,9,122.727,122.778,122.799,0.07200000000000273
11,10,132.573,132.638,132.7,0.12699999999998113
11,11,142.059,142.101,142.138,0.07900000000000773
11,12,151.392,151.442,151.483,0.09100000000000819
11,13,160.751,160.798,160.838,0.08699999999998909
11,14,170.414,170.476,170.49,0.07600000000002183
11,15,179.79500000000002,179.84199999999998,179.89,0.09499999999997044
11,16,189.815,189.835,189.89600000000002,0.08100000000001728
11,17,198.94,198.988,199.041,0.10099999999999909
11,18,208.561,208.597,208.684,0.12299999999999045
11,19,218.55599999999998,218.578,218.661,0.10500000000001819
11,20,228.883,228.925,228.981,0.09799999999998477
11,21,239.796,239.872,239.923,0.12700000000000955
11,22,250.551,250.618,250.692,0.14100000000001955
11,23,260.995,261.011,261.086,0.09100000000000819
11,24,270.983,271.029,271.089,0.10599999999999454
11,25,280.581,280.60699999999997,280.669,0.08799999999996544
11,26,290.531,290.556,290.62,0.08899999999999864
11,27,300.229,300.262,300.326,0.09700000000003683
11,28,309.901,309.959,310.048,0.14699999999999136
12,0,36.731,36.754,36.81,0.07900000000000063
12,1,46.89,46.925,47.007,0.11699999999999733
12,2,56.003,56.054,56.1,0.09700000000000131
12,3,65.596,65.64,65.694,0.09799999999999898
12,4,76.185,76.206,76.275,0.09000000000000341
12,5,86.441,86.485,86.53,0.08899999999999864
12,6,96.581,96.63499999999999,96.69,0.10899999999999466
12,7,106.945,106.97200000000001,107.012,0.06700000000000728
12,8,117.49600000000001,117.559,117.64,0.14399999999999125
12,9,128.475,128.503,128.554,0.07900000000000773
12,10,138.643,138.679,138.725,0.08199999999999363
12,11,149.594,149.651,149.687,0.09300000000001774
12,12,158.675,158.699,158.74,0.06499999999999773
12,13,169.463,169.492,169.53,0.06700000000000728
12,14,179.12,179.184,179.238,0.117999999999995
12,15,188.594,188.617,188.681,0.08700000000001751
12,16,198.712,198.778,198.839,0.12700000000000955
12,17,208.923,208.993,209.007,0.08400000000000318
12,18,218.224,218.262,218.29500000000002,0.07100000000002638
12,19,229.155,229.19,229.22,0.06499999999999773
12,20,238.707,238.758,238.809,0.10200000000000387
12,21,248.345,248.386,248.44,0.09499999999999886
12,22,259.06,259.122,259.198,0.1379999999999768
12,23,268.263,268.294,268.35699999999997,0.09399999999999409
12,24,277.952,277.988,278.015,0.06299999999998818
12,25,287.671,287.714,287.754,0.08300000000002683
12,26,297.205,297.256,297.29,0.08500000000003638
12,27,306.999,307.052,307.081,0.08199999999999363
